province;red;green;blue;x;x
1631;126;202;252;Indian Ocean #16;x
1632;127;222;252;Indian Ocean #17;x
1633;0;253;253;Indian Ocean #18;x
1634;1;203;203;Indian Ocean #19;x
1635;2;203;253;Indian Ocean #20;x
1636;3;223;253;Indian Ocean #21;x
1637;4;253;253;Indian Ocean #22;x
1638;5;203;203;Indian Ocean #23;x
1639;6;203;253;Indian Ocean #24;x
1640;7;223;253;Indian Ocean #25;x
1641;8;253;253;Indian Ocean #26;x
1642;9;203;203;Indian Ocean #27;x
1643;10;203;253;Indian Ocean #28;x
1644;11;223;253;Indian Ocean #29;x
1645;12;253;253;Indian Ocean #30;x
1646;13;203;203;Indian Ocean #31;x
1647;14;203;253;Indian Ocean #32;x
1648;15;223;253;Lake Tchad;x
1649;16;253;253;Lake Victoria;x
1650;17;203;203;Lake Tangayika;x
1651;18;203;253;Lake Malawi;x
1652;19;223;253;White Sea;x
1653;20;253;253;Lake Balchasj;x
1654;21;203;203;Lake Bajkal;x
1655;22;203;253;Chinese Lake Needs Name;x
1656;23;223;253;Lake Titicaca;x
1657;24;253;253;Lake Nicaragua;x
1658;25;203;203;Everglades;x
1659;26;203;253;Lake Ontario;x
1660;27;223;253;Lake Erie;x
1661;28;253;253;Lake Huron;x
1662;29;203;203;Lake Michigan;x
1663;30;203;253;Lake Superior;x
1664;31;223;253;Lake Nipigon;x
1665;32;253;253;Lake Winnipeg;x
1666;33;203;203;Western Pacific #1;x
1667;34;203;253;Western Pacific #2;x
1668;35;223;253;Western Pacific #3;x
1669;36;253;253;Western Pacific #4;x
1670;37;203;203;Western Pacific #5;x
1671;38;203;253;Western Pacific #6;x
1672;39;223;253;Western Pacific #7;x
1673;40;253;253;Western Pacific #8;x
1674;41;203;203;Western Pacific #9;x
1675;42;203;253;Western Pacific #10;x
1676;43;223;253;Western Pacific #11;x
1677;44;253;253;Northern Pacific #1;x
1678;45;203;203;Northern Pacific #2;x
1679;46;203;253;Northern Pacific #3;x
1680;47;223;253;Northern Pacific #4;x
1681;48;253;253;Northern Pacific #5;x
1682;49;203;203;Northern Pacific #6;x
1683;50;203;253;Northern Pacific #7;x
1684;51;223;253;Northern Pacific #8;x
1685;52;253;253;Northern Pacific #9;x
1686;53;203;203;Northern Pacific #10;x
1687;54;203;253;Central Pacific #1;x
1688;55;223;253;Central Pacific #2;x
1689;56;253;253;Central Pacific #3;x
1690;57;203;203;Central Pacific #4;x
1691;58;203;253;Central Pacific #5;x
1692;59;223;253;Central Pacific #6;x
1693;60;253;253;Central Pacific #7;x
1694;61;203;203;Central Pacific #8;x
1695;62;203;253;Central Pacific #9;x
1696;63;223;253;Central Pacific #10;x
1697;64;253;253;Coast of Hawaii;x
1698;65;203;203;Central Pacific #11;x
1699;66;203;253;Central Pacific #12;x
1700;67;223;253;Eastern Pacific #1;x
1701;68;253;253;Eastern Pacific #2;x
1702;69;203;203;Eastern Pacific #3;x
1703;70;203;253;Eastern Pacific #4;x
1704;71;223;253;Eastern Pacific #5;x
1705;72;253;253;Eastern Pacific #6;x
1706;73;203;203;Eastern Pacific #7;x
1707;74;203;253;Eastern Pacific #8;x
1708;75;223;253;Eastern Pacific #9;x
1709;76;253;253;Eastern Pacific #10;x
1710;77;203;203;Eastern Pacific #11;x
1711;78;203;253;Eastern Pacific #12;x
1712;79;223;253;Eastern Pacific #13;x
1713;80;253;253;Eastern Pacific #14;x
1714;81;203;203;Eastern Pacific #15;x
1715;82;203;253;Eastern Pacific #16;x
1716;83;223;253;Eastern Pacific #17;x
1717;85;203;203;Southern Pacifc #1;x
1718;86;203;253;Southern Pacifc #2;x
1719;87;223;253;Southern Pacifc #3;x
1720;88;253;253;Southern Pacifc #4;x
1721;89;203;203;Southern Pacifc #5;x
1722;90;203;253;Southern Pacifc #6;x
1723;91;223;253;Southern Pacifc #7;x
1724;92;253;253;Southern Pacifc #8;x
1725;93;203;203;Southern Pacifc #9;x
1726;94;203;253;Southern Pacifc #10;x
1727;95;223;253;Southern Pacifc #11;x
1728;96;253;253;Southern Pacifc #12;x
1729;97;203;203;Southern Pacifc #13;x
1730;98;203;253;Southern Pacifc #14;x
1731;99;223;253;Southern Pacifc #15;x
1732;100;253;253;Southern Pacifc #16;x
1733;101;203;203;Southern Pacifc #17;x
1734;102;203;253;Southern Pacifc #18;x
1735;103;223;253;Southern Pacifc #19;x
1736;104;203;203;Southern Pacifc #20;x
1737;106;203;253;Southern Pacifc #22;x
1738;107;223;253;Southern Pacifc #23;x
1739;108;253;253;Southern Pacifc #24;x
1740;109;203;203;Southern Pacifc #25;x
1741;110;203;253;Southern Pacifc #26;x
1742;66;68;126;Limburg;x
1743;194;70;173;Cambray;x
1744;66;72;32;Antwerpen;x
1745;195;74;79;Cantabria;x
1746;67;76;126;Burgos;x
1747;195;78;173;Caceres;x
1748;67;80;32;La Mancha;x
1749;195;82;79;Cadiz;x
1750;67;84;126;Alicante;x
1751;195;86;173;Ceuta;x
1752;68;88;32;Rzhev;x
1753;196;90;79;Kostroma;x
1754;68;92;126;Orel;x
1755;196;94;173;Ustyug;x
1756;68;96;32;Budjak;x
1757;196;98;79;Oberpfalz;x
1758;68;100;126;Hannover;x
1759;197;102;173;Potsdam;x
1760;69;104;32;Koblenz;x
1761;197;106;79;Alzey;x
1762;69;108;126;Kassel;x
1763;197;110;173;Niederlausitz;x
1764;69;112;32;Burgas;x
1765;197;114;79;Nis;x
1766;70;116;126;Kosovo;x
1767;198;118;173;Osijek;x
1768;70;120;32;Lienz;x
1769;198;122;79;Gˆrz;x
1770;70;124;126;Ostmarch;x
1771;198;126;173;Erz;x
1772;70;128;32;Presburg;x
1773;199;130;79;Achaea;x
1774;71;132;126;Treviso;x
1775;199;134;173;Holstein;x
1776;71;136;32;Karelia;x
1777;199;138;79;Kola;x
1778;71;140;126;Kasimov;x
1779;199;142;173;Rub' al Khali;x
1780;72;144;32;Komi;x
1781;200;146;79;Western Siberia;x
1782;72;148;126;Eastern Siberia;x
1783;200;150;173;Koryak;x
1784;72;152;32;Tiam Shan;x
1785;200;154;79;Karakoram;x
1786;72;156;126;Takla Makan;x
1787;201;158;173;Himalaya;x
1788;73;32;32;Arunachal;x
1789;201;34;79;Maoke;x
1790;73;36;126;Western Australia;x
1791;201;38;173;Central Australia;x
1792;201;42;79;Antananarivo;x
1793;74;44;126;El Djouf;x
1794;202;46;173;Central Sahara;x
1795;74;48;32;East Sahara;x
1796;202;50;79;Central Africa;x
1797;74;52;126;Inner Kongo;x
1798;202;54;173;Uganda;x
1799;74;56;32;Malawi;x
1800;203;58;79;Zambia;x
1801;75;60;126;Kalahari;x
1802;203;62;173;Northern Amazonas;x
1803;75;64;32;Southern Amazonas;x
1804;203;66;79;Greenland;x
1805;75;68;126;QuÈbec;x
1806;203;70;173;Weagamow;x
1807;76;72;32;Baffin Island;x
1808;204;74;79;Great Basin;x
1809;76;76;126;Great Plains;x
1810;204;78;173;Alaska;x
1811;76;80;32;Nunavut;x
1812;204;82;79;Northwest Territories;x
1813;76;84;126;Saskatchewan;x
1814;205;86;173;Columbia;x
1815;77;88;32;Ayeyarwady;x
1816;205;90;79;Hejian;x
1817;77;92;126;Nan;x
1818;205;94;173;Chikuzen;x
1819;77;96;32;Tosa;x
1820;205;98;79;Awa;x
1821;78;100;126;Nanjing;x
1822;206;102;173;Shangai;x
1823;78;104;32;Stung Treng;x
1824;206;106;79;Wenzhou;x
1825;78;108;126;Aki;x
1826;206;110;173;Lika;x
1827;78;112;32;Raska;x
1828;207;114;79;Soli;x
1829;79;116;126;Xiamen;x
1830;207;118;173;Tajima;x
1831;79;120;32;Travunia;x
1832;207;122;79;Yamato;x
1833;79;124;126;Ji'an;x
1834;207;126;173;Dorpat;x
1835;80;128;32;Mino;x
1836;208;130;79;Nanyang;x
1837;80;132;126;Etchu;x
1838;208;134;173;Hefei;x
1839;80;136;32;Totomi;x
1840;208;138;79;Guilin;x
1841;80;140;126;Marienburg;x
1842;209;142;173;Narva;x
1843;81;144;32;Kozuke;x
1844;209;146;79;Xiankhouang;x
1845;81;148;126;Uiji;x
1846;209;150;173;Yozgat;x
1847;81;152;32;Shiribeshi;x
1848;209;154;79;Hamid;x
1849;82;156;126;Hamah ;x
1850;210;158;173;Mudanjiang;x
1851;82;32;32;Ribatejo;x
1852;210;34;79;Tokachi;x
1853;82;36;126;Kozani;x
1854;210;38;173;Negev;x
1855;82;40;32;Sidon;x
1856;211;42;79;Abkhazia;x
1857;83;44;126;Lauenburg;x
1858;211;46;173;Stettin;x
1859;83;48;32;Torun;x
1860;211;50;79;Norfolk;x
1861;83;52;126;Derby;x
1862;211;54;173;Cremona;x
1863;84;56;32;Graz;x
1864;212;58;79;Somogy;x
1865;84;60;126;Ghent;x
1866;212;62;173;Namur ;x
1867;84;64;32;Freiburg;x
1868;212;66;79;Augsburg;x
1869;84;68;126;ZÅEich;x
1870;213;70;173;S:t Gallen;x
1871;85;72;32;Wallis;x
1872;86;84;126;Ulm;x
1873;85;76;126;Chur;x
1874;213;78;173;Bremen;x
1875;142;110;192;Turin;x
1876;213;82;79;Frankfurt;x
1877;86;92;126;Charolais;x
1878;214;86;173;Aachen;x
1879;86;88;32;Alencon;x
1880;214;90;79;Sundgau;x
1881;213;74;79;St. BarthÈlemy;x
1882;214;94;173;BÙne;x
1883;0;0;232;Western Finish lakes;x
1884;1;0;236;East Finish lakes;x
1885;2;0;240;Central finish lakes;x
1886;3;0;244;Storavan;x
1887;4;0;248;Storsjon;x
1888;5;0;232;Kara Sea;x
1889;6;0;236;Lake geneva;x
1890;7;0;240;Bodensee;x
1891;8;0;244;Tuz Gola;x
1892;9;0;248;Lake Van;x
1893;10;0;232;Lake Daryacheh;x
1894;11;0;236;Sevan Lake;x
1895;12;0;240;Lake Taihu;x
1896;13;0;244;Lake Hongze;x
1897;14;0;248;Dongting;x
1898;15;0;232;Tonie Sap Lake;x
1899;16;0;236;Tana lake;x
1900;17;0;240;Lake Turkana;x
1901;18;0;244;Lake Volta;x
1902;19;0;248;Lake Poopo;x
1903;20;0;232;Lake Champlain;x
1904;21;0;236;Lac Saint Jean;x
1905;22;0;240;Lac Manicouagan;x
1906;23;0;244;Lac Michikamau;x
1907;24;0;248;Lac Bienville;x
1908;25;0;232;Lac Al Eau Claire;x
1909;26;0;236;Lac Minto;x
1910;27;0;240;La Grande Riviere;x
1911;28;0;244;Lake Island;x
1912;29;0;248;Lake Reindeer;x
1913;30;0;232;Wollaston Lake;x
1914;31;0;236;Great Slave Lake;x
1915;32;0;240;Lake Athabasca;x
1916;33;0;244;Dubawni Lake;x
1917;34;0;248;Yathkyed Lake;x
1918;35;0;232;Kasba Lake;x
1919;36;0;236;Nueltin Lake;x
1920;37;0;240;Wholdaia Lake;x
1921;38;0;244;Peter Pond Lake;x
1922;39;0;248;Great salt lake;x
1923;40;0;232;Williston Lake;x
1924;62;206;252;Greenland tip;x
1925;62;214;252;B‰lt sound;x
1926;62;230;252;Northern baltic sea;x
1927;62;218;252;Eastern baltic sea;x
1928;62;234;252;Western Alands sea;x
1929;62;210;252;Western Norwegian Sea;x
1930;237;154;79;≈land;x
1931;130;60;50;East Frisia;x
1932;49;150;248;Gulf of Satalia;x
1933;50;0;232;Bari;x
1934;251;0;36;Lucania;x
1935;52;0;240;Semigallia;x
1936;55;0;0;Kovno;x
1937;65;0;250;Grodno;x
1938;75;0;25;Wizna;x 
1939;85;0;225;Leczyca;x
1940;95;0;50;Belz;x
1941;105;0;200;Turov;x
1942;110;0;75;Zhytomyr;x
1943;115;0;175;Bratslav;x
1944;120;0;100;Cherkasy;x
1945;125;0;150;Novgorod-Seversky;x
1946;63;0;244;Desh;x
1947;64;0;248;Carnatic;x
1948;65;0;232;Bidar;x
1949;66;0;236;Rayalaseema;x
1950;67;0;240;Meghalaya;x
1951;68;0;244;Hunyad;x
1952;69;0;248;Maramaros;x
1953;70;0;232;Szabolcs;x
1954;71;0;236;Torontal;x
1955;72;0;240;Kholmogory;x
1956;73;0;244;Suzdal;x
1957;74;0;248;Galich;x
1958;75;0;232;Kargopol;x
1959;76;0;236;Torzhok;x
1960;77;0;240;Ostrov;x
1961;78;0;244;Ladoga;x
1962;79;0;248;Kudymkar;x
1963;80;0;232;Cherdyn;x
1964;81;0;236;Ust-Sysolsk;x
1965;88;116;126;Buzuluk;x
1966;216;118;173;Chelyaba;x
1967;217;126;173;Khujand;x
1968;89;128;32;Kulob;x
1969;216;122;79;Sozak;x
1970;88;120;32;Syghnak;x
1971;88;112;32;Tsaritsyn;x
1972;216;114;79;Udmurtia;x
1973;88;124;126;Urgench;x
1974;215;110;173;Yedishkul;x
1975;105;225;255;Sea of Jutland;x
1976;93;0;244;Dead Sea;x
1977;94;0;248;M‰laren;x
1978;95;0;232;Shetlands;x
1979;96;0;236;F‰rˆarnax;x
1980;136;253;253;Sea of Japan;x
1981;98;0;244;Bornholm;x
1982;99;0;248;Blekinge;x
1983;100;0;232;Lolland;x
1984;101;0;236;Nordjylland;x
1985;102;240;0;N‰rke;x
1986;103;0;244;New Caledonia;x
1987;104;0;248;Society Islands;x
1988;105;0;232;Rapa Nui;x
1989;106;0;236;Tonga;x
1990;107;0;240;Tuvalu;x
1991;108;0;244;Gilbert Islands;x
1992;109;0;248;Nauru;x
1993;110;0;232;Marshall Islands;x
1994;111;0;236;Wake;x
1995;112;0;240;Micronesia;x
1996;113;0;244;Palau;x
1997;114;0;248;Midway;x
1998;115;0;232;x;x
1999;116;0;236;x;x
2000;117;0;240;x;x
2001;118;0;244;x;x
2002;119;0;248;x;x
2003;120;2;232;x;x
2004;121;2;236;x;x
2005;122;2;240;x;x
2006;123;2;244;x;x
2007;124;2;248;x;x
2008;125;2;232;x;x
2009;126;2;236;x;x
2010;255;1;40;x;x
2011;255;2;120;x;x
2012;255;3;160;x;x
2013;255;4;40;x;x
2014;255;5;120;x;x
2015;255;6;160;x;x
2016;255;7;40;x;x
2017;255;8;120;x;x
2018;255;9;160;x;x
2019;255;10;40;x;x
2020;255;11;120;x;x
2021;255;12;160;x;x
2022;255;13;40;x;x
2023;255;14;120;x;x
2024;255;15;160;x;x
2025;255;16;40;x;x
2026;255;17;120;x;x
2027;255;18;160;x;x
2028;255;19;40;x;x
2029;255;20;120;x;x
2030;255;21;160;x;x
